OrderID,OrderDate,ProductID,CustomerID,StoreID,Quantity,UnitPrice,Discount,TotalSales,Cost,Profit,Year,Month,Day
O103981,2023-01-10,P0081,C01150,S009,1,143.09,0.0,143.09,110.0,33.09,2023,1,10
O107989,2023-01-10,P0099,C00413,S008,2,5.01,0.0,10.02,5.54,4.48,2023,1,10
O100181,2023-01-10,P0040,C00869,S010,1,25.25,0.0,25.25,16.53,8.72,2023,1,10
O106238,2023-01-10,P0023,C01079,S004,3,818.22,0.0,2454.66,1890.45,564.21,2023,1,10
O104410,2023-01-10,P0049,C00392,S011,1,366.28,0.0,366.28,172.71,193.57,2023,1,10
O103306,2023-01-10,P0001,C00887,S008,4,132.87,0.0,531.48,429.6,101.88,2023,1,10
O109899,2023-01-10,P0040,C00570,S005,2,25.25,0.05,47.97,33.06,14.91,2023,1,10
O106635,2023-01-10,P0091,C00744,S005,1,35.24,0.2,28.19,18.67,9.52,2023,1,10
O105092,2023-01-10,P0060,C00263,S002,1,80.71,0.05,76.67,51.25,25.42,2023,1,10
O100214,2023-01-10,P0024,C00464,S010,10,722.65,0.0,7226.5,4235.8,2990.7,2023,1,10
O103626,2023-01-10,P0052,C01060,S009,3,97.55,0.0,292.65,184.41,108.24,2023,1,10
O100725,2023-01-10,P0069,C00523,S006,1,85.27,0.0,85.27,65.86,19.41,2023,1,10
O108971,2023-01-10,P0002,C00254,S005,5,130.95,0.0,654.75,500.3,154.45,2023,1,10
O102280,2023-01-10,P0038,C00048,S001,1,42.19,0.0,42.19,29.31,12.88,2023,1,10
O101347,2023-01-10,P0019,C00669,S008,1,138.62,0.0,138.62,68.15,70.47,2023,1,10
O102009,2023-01-10,P0049,C00705,S005,2,366.28,0.2,586.05,345.42,240.63,2023,1,10
O101612,2023-01-10,P0042,C00284,S008,2,9.86,0.0,19.72,12.46,7.26,2023,1,10
O101875,2023-01-10,P0099,C00473,S011,2,5.01,0.0,10.02,5.54,4.48,2023,1,10
O101526,2023-01-10,P0048,C00778,S012,1,113.33,0.0,113.33,82.55,30.78,2023,1,10
O103400,2023-01-11,P0060,C00651,S006,2,80.71,0.0,161.42,102.5,58.92,2023,1,11
O100495,2023-01-11,P0015,C00443,S011,1,36.03,0.2,28.82,18.61,10.21,2023,1,11
O105264,2023-01-11,P0023,C00083,S003,1,818.22,0.0,818.22,630.15,188.07,2023,1,11
O100904,2023-01-11,P0033,C00705,S012,1,47.81,0.0,47.81,31.21,16.6,2023,1,11
O101925,2023-01-11,P0072,C00266,S010,1,149.26,0.1,134.33,69.51,64.82,2023,1,11
O109205,2023-01-11,P0054,C00032,S004,1,42.97,0.0,42.97,29.12,13.85,2023,1,11
O103193,2023-01-11,P0084,C00619,S011,5,17.53,0.0,87.65,70.55,17.1,2023,1,11
O105387,2023-01-11,P0086,C00343,S003,2,310.61,0.0,621.22,319.38,301.84,2023,1,11
O102330,2023-01-11,P0073,C01167,S011,1,36.7,0.0,36.7,18.22,18.48,2023,1,11
O101838,2023-01-11,P0004,C00936,S005,2,29.55,0.15,50.24,28.96,21.28,2023,1,11
O108765,2023-01-11,P0069,C00247,S008,2,85.27,0.0,170.54,131.72,38.82,2023,1,11
O108831,2023-01-11,P0016,C00491,S010,2,547.4,0.0,1094.8,794.82,299.98,2023,1,11
O111020,2023-01-11,P0004,C00021,S003,1,29.55,0.1,26.6,14.48,12.12,2023,1,11
O104239,2023-01-11,P0068,C00911,S007,1,100.31,0.0,100.31,81.38,18.93,2023,1,11
O107938,2023-01-11,P0014,C00595,S011,2,13.14,0.1,23.65,12.26,11.39,2023,1,11
O100379,2023-01-11,P0029,C00566,S003,3,93.75,0.15,239.06,206.28,32.78,2023,1,11
O107534,2023-01-11,P0035,C01044,S001,1,21.89,0.0,21.89,12.25,9.64,2023,1,11
O111481,2023-01-11,P0099,C01131,S002,2,5.01,0.1,9.02,5.54,3.48,2023,1,11
O107543,2023-01-11,P0019,C00206,S003,1,138.62,0.0,138.62,68.15,70.47,2023,1,11
O105124,2023-01-11,P0094,C01187,S010,2,21.21,0.0,42.42,24.34,18.08,2023,1,11
O102936,2023-01-11,P0070,C00870,S009,1,27.07,0.1,24.36,14.25,10.11,2023,1,11
O103966,2023-01-12,P0097,C00859,S006,1,8.15,0.0,8.15,5.49,2.66,2023,1,12
O108960,2023-01-12,P0091,C00795,S004,1,35.24,0.0,35.24,18.67,16.57,2023,1,12
O108539,2023-01-12,P0002,C01053,S011,1,130.95,0.05,124.4,100.06,24.34,2023,1,12
O106769,2023-01-12,P0023,C00083,S005,1,818.22,0.0,818.22,630.15,188.07,2023,1,12
O101661,2023-01-12,P0042,C00615,S010,2,9.86,0.15,16.76,12.46,4.3,2023,1,12
O109548,2023-01-12,P0066,C00734,S011,1,105.53,0.0,105.53,58.77,46.76,2023,1,12
O106918,2023-01-12,P0007,C00277,S011,1,99.07,0.05,94.12,74.71,19.41,2023,1,12
O110718,2023-01-12,P0028,C00786,S010,1,453.33,0.0,453.33,253.96,199.37,2023,1,12
O103123,2023-01-12,P0026,C00669,S004,1,325.3,0.0,325.3,181.38,143.92,2023,1,12
O100937,2023-01-12,P0026,C00318,S004,1,325.3,0.15,276.5,181.38,95.12,2023,1,12
O100792,2023-01-12,P0071,C00862,S010,1,9.68,0.05,9.2,7.38,1.82,2023,1,12
O103309,2023-01-12,P0027,C00351,S010,1,55.97,0.0,55.97,29.57,26.4,2023,1,12
O108300,2023-01-12,P0089,C00344,S003,3,39.28,0.0,117.84,54.45,63.39,2023,1,12
O105660,2023-01-12,P0024,C00941,S001,2,722.65,0.1,1300.77,847.16,453.61,2023,1,12
O102690,2023-01-12,P0053,C00677,S007,2,51.37,0.0,102.74,64.54,38.2,2023,1,12
O110507,2023-01-12,P0056,C00098,S011,1,20.73,0.1,18.66,16.75,1.91,2023,1,12
O102630,2023-01-12,P0079,C01091,S009,1,120.53,0.2,96.42,93.1,3.32,2023,1,12
O108964,2023-01-13,P0088,C00234,S011,2,5.57,0.0,11.14,8.62,2.52,2023,1,13
O100398,2023-01-13,P0077,C00930,S004,1,130.07,0.05,123.57,107.65,15.92,2023,1,13
O101256,2023-01-13,P0001,C00714,S010,2,132.87,0.0,265.74,214.8,50.94,2023,1,13
O106165,2023-01-13,P0056,C00352,S009,4,20.73,0.05,78.77,67.0,11.77,2023,1,13
O108513,2023-01-13,P0080,C01081,S012,1,20.59,0.1,18.53,13.94,4.59,2023,1,13
O106120,2023-01-13,P0018,C00345,S007,2,34.43,0.0,68.86,52.98,15.88,2023,1,13
O101012,2023-01-13,P0086,C01018,S008,1,310.61,0.05,295.08,159.69,135.39,2023,1,13
O107154,2023-01-13,P0033,C00081,S010,3,47.81,0.1,129.09,93.63,35.46,2023,1,13
O109605,2023-01-13,P0087,C00649,S003,1,463.9,0.0,463.9,253.65,210.25,2023,1,13
O102396,2023-01-13,P0045,C01024,S008,1,131.19,0.15,111.51,106.88,4.63,2023,1,13
O105841,2023-01-13,P0080,C00487,S004,1,20.59,0.0,20.59,13.94,6.65,2023,1,13
O108089,2023-01-13,P0060,C00562,S004,2,80.71,0.0,161.42,102.5,58.92,2023,1,13
O105651,2023-01-13,P0086,C00448,S005,2,310.61,0.0,621.22,319.38,301.84,2023,1,13
O102603,2023-01-13,P0018,C00035,S011,1,34.43,0.0,34.43,26.49,7.94,2023,1,13
O100692,2023-01-13,P0100,C00336,S007,4,142.46,0.0,569.84,364.56,205.28,2023,1,13
O104398,2023-01-13,P0076,C00129,S008,1,301.81,0.0,301.81,247.89,53.92,2023,1,13
O107334,2023-01-13,P0038,C00926,S009,2,42.19,0.0,84.38,58.62,25.76,2023,1,13
O103660,2023-01-14,P0049,C00198,S008,1,366.28,0.05,347.97,172.71,175.26,2023,1,14
O101065,2023-01-14,P0045,C01010,S001,1,131.19,0.05,124.63,106.88,17.75,2023,1,14
O105073,2023-01-14,P0089,C01168,S010,10,39.28,0.0,392.8,181.5,211.3,2023,1,14
O106980,2023-01-14,P0039,C00364,S011,2,47.6,0.15,80.92,65.06,15.86,2023,1,14
O105278,2023-01-14,P0015,C00329,S007,1,36.03,0.0,36.03,18.61,17.42,2023,1,14
O111034,2023-01-14,P0097,C01147,S012,3,8.15,0.05,23.23,16.47,6.76,2023,1,14
O101197,2023-01-14,P0040,C00936,S005,1,25.25,0.15,21.46,16.53,4.93,2023,1,14
O108603,2023-01-14,P0029,C00520,S010,1,93.75,0.0,93.75,68.76,24.99,2023,1,14
O102403,2023-01-14,P0034,C01185,S007,1,84.19,0.05,79.98,69.04,10.94,2023,1,14
O103615,2023-01-14,P0069,C00517,S010,1,85.27,0.0,85.27,65.86,19.41,2023,1,14
O102413,2023-01-14,P0029,C00573,S012,1,93.75,0.15,79.69,68.76,10.93,2023,1,14
O102081,2023-01-14,P0040,C00008,S001,2,25.25,0.0,50.5,33.06,17.44,2023,1,14
O108188,2023-01-14,P0090,C00747,S006,1,575.16,0.0,575.16,375.73,199.43,2023,1,14
O102619,2023-01-14,P0020,C00528,S006,1,30.45,0.0,30.45,20.59,9.86,2023,1,14
O102186,2023-01-14,P0050,C01070,S008,2,9.87,0.0,19.74,9.48,10.26,2023,1,14
O107990,2023-01-14,P0020,C00822,S004,1,30.45,0.05,28.93,20.59,8.34,2023,1,14
O103470,2023-01-14,P0027,C00457,S007,5,55.97,0.05,265.86,147.85,118.01,2023,1,14
O104928,2023-01-14,P0001,C00672,S007,2,132.87,0.0,265.74,214.8,50.94,2023,1,14
O101939,2023-01-15,P0084,C00970,S010,1,17.53,0.1,15.78,14.11,1.67,2023,1,15
O110001,2023-01-15,P0043,C00020,S012,1,11.09,0.0,11.09,5.81,5.28,2023,1,15
O111549,2023-01-15,P0041,C00980,S012,1,246.7,0.0,246.7,134.73,111.97,2023,1,15
O110374,2023-01-15,P0085,C00268,S010,1,34.17,0.0,34.17,27.5,6.67,2023,1,15
O106761,2023-01-15,P0020,C00284,S012,1,30.45,0.0,30.45,20.59,9.86,2023,1,15
O105154,2023-01-15,P0081,C00871,S012,3,143.09,0.0,429.27,330.0,99.27,2023,1,15
O105339,2023-01-15,P0083,C00905,S006,2,85.03,0.0,170.06,89.58,80.48,2023,1,15
O102948,2023-01-15,P0023,C00493,S009,1,818.22,0.05,777.31,630.15,147.16,2023,1,15
O102982,2023-01-15,P0033,C00964,S011,5,47.81,0.0,239.05,156.05,83.0,2023,1,15
O107613,2023-01-15,P0086,C00288,S009,2,310.61,0.05,590.16,319.38,270.78,2023,1,15
O106146,2023-01-15,P0075,C00343,S007,1,10.1,0.05,9.59,7.49,2.1,2023,1,15
O108139,2023-01-15,P0044,C01027,S006,2,136.64,0.2,218.62,231.36,-12.74,2023,1,15
O100976,2023-01-15,P0033,C00522,S004,5,47.81,0.0,239.05,156.05,83.0,2023,1,15
O108574,2023-01-15,P0068,C00434,S003,2,100.31,0.1,180.56,162.76,17.8,2023,1,15
O110320,2023-01-15,P0081,C01185,S001,1,143.09,0.0,143.09,110.0,33.09,2023,1,15
O104596,2023-01-16,P0087,C01000,S001,1,463.9,0.0,463.9,253.65,210.25,2023,1,16
O111608,2023-01-16,P0037,C00703,S011,1,61.48,0.0,61.48,48.1,13.38,2023,1,16
O103742,2023-01-16,P0093,C00022,S009,1,13.08,0.05,12.43,9.16,3.27,2023,1,16
O111629,2023-01-16,P0059,C00429,S010,3,10.64,0.0,31.92,23.1,8.82,2023,1,16
O106688,2023-01-16,P0063,C00083,S003,4,112.94,0.15,384.0,362.76,21.24,2023,1,16
O111339,2023-01-16,P0045,C00151,S006,2,131.19,0.0,262.38,213.76,48.62,2023,1,16
O104960,2023-01-16,P0037,C01196,S001,2,61.48,0.05,116.81,96.2,20.61,2023,1,16
O104245,2023-01-16,P0021,C00407,S008,1,25.8,0.0,25.8,12.57,13.23,2023,1,16
O107499,2023-01-16,P0073,C00683,S005,1,36.7,0.1,33.03,18.22,14.81,2023,1,16
O104378,2023-01-16,P0054,C00129,S003,2,42.97,0.1,77.35,58.24,19.11,2023,1,16
O102776,2023-01-16,P0021,C00778,S012,1,25.8,0.0,25.8,12.57,13.23,2023,1,16
O101008,2023-01-16,P0021,C00829,S002,1,25.8,0.0,25.8,12.57,13.23,2023,1,16
O103074,2023-01-16,P0091,C00530,S012,1,35.24,0.0,35.24,18.67,16.57,2023,1,16
O106626,2023-01-17,P0063,C00647,S001,2,112.94,0.1,203.29,181.38,21.91,2023,1,17
O106465,2023-01-17,P0050,C00412,S007,1,9.87,0.0,9.87,4.74,5.13,2023,1,17
O102336,2023-01-17,P0055,C00772,S011,1,24.74,0.1,22.27,17.48,4.79,2023,1,17
O107097,2023-01-17,P0070,C00702,S011,1,27.07,0.0,27.07,14.25,12.82,2023,1,17
O109492,2023-01-17,P0079,C00381,S012,2,120.53,0.0,241.06,186.2,54.86,2023,1,17
O100973,2023-01-17,P0085,C00733,S004,2,34.17,0.0,68.34,55.0,13.34,2023,1,17
O110481,2023-01-17,P0100,C01091,S006,1,142.46,0.1,128.21,91.14,37.07,2023,1,17
O111857,2023-01-17,P0042,C00736,S003,1,9.86,0.0,9.86,6.23,3.63,2023,1,17
O104457,2023-01-17,P0043,C00176,S010,1,11.09,0.0,11.09,5.81,5.28,2023,1,17
O108148,2023-01-17,P0060,C00930,S003,2,80.71,0.0,161.42,102.5,58.92,2023,1,17
O111212,2023-01-17,P0066,C00419,S010,1,105.53,0.0,105.53,58.77,46.76,2023,1,17
