ProductID,Category,SubCategory,ProductName,UnitPrice,Cost
P0058,Sports,Fitness,SPO_FIT_58,123.22,59.47
P0059,Electronics,Laptop,ELE_LAP_59,10.64,7.7
P0060,Beauty,Haircare,BEA_HAI_60,80.71,51.25
P0061,Home & Kitchen,Appliances,HOM_APP_61,86.94,46.4
P0062,Toys,Action,TOY_ACT_62,39.06,17.85
P0063,Sports,Team Sports,SPO_TEA_63,112.94,90.69
P0064,Sports,Outdoor,SPO_OUT_64,12.06,5.48
P0065,Home & Kitchen,Appliances,HOM_APP_65,776.21,385.54
P0066,Clothing,Kids,CLO_KID_66,105.53,58.77
P0067,Beauty,Haircare,BEA_HAI_67,5.57,3.25
P0068,Home & Kitchen,Cookware,HOM_COO_68,100.31,81.38
P0069,Beauty,Makeup,BEA_MAK_69,85.27,65.86
P0070,Beauty,Makeup,BEA_MAK_70,27.07,14.25
P0071,Home & Kitchen,Appliances,HOM_APP_71,9.68,7.38
P0072,Clothing,Kids,CLO_KID_72,149.26,69.51
P0073,Sports,Outdoor,SPO_OUT_73,36.7,18.22
P0074,Furniture,Bedroom,FUR_BED_74,106.15,69.24
P0075,Furniture,Bedroom,FUR_BED_75,10.1,7.49
P0076,Clothing,Kids,CLO_KID_76,301.81,247.89
P0077,Clothing,Kids,CLO_KID_77,130.07,107.65
P0078,Sports,Team Sports,SPO_TEA_78,18.31,12.84
P0079,Electronics,Audio,ELE_AUD_79,120.53,93.1
P0080,Sports,Team Sports,SPO_TEA_80,20.59,13.94
P0081,Sports,Team Sports,SPO_TEA_81,143.09,110.0
P0082,Home & Kitchen,Cookware,HOM_COO_82,28.43,21.73
P0083,Furniture,Bedroom,FUR_BED_83,85.03,44.79
P0084,Toys,Dolls,TOY_DOL_84,17.53,14.11
P0085,Electronics,Accessory,ELE_ACC_85,34.17,27.5
P0086,Furniture,Office,FUR_OFF_86,310.61,159.69
P0087,Home & Kitchen,Appliances,HOM_APP_87,463.9,253.65
P0088,Home & Kitchen,Decor,HOM_DEC_88,5.57,4.31
P0089,Clothing,Women,CLO_WOM_89,39.28,18.15
P0090,Electronics,Accessory,ELE_ACC_90,575.16,375.73
P0091,Beauty,Skincare,BEA_SKI_91,35.24,18.67
P0092,Beauty,Skincare,BEA_SKI_92,41.48,25.41
P0093,Furniture,Office,FUR_OFF_93,13.08,9.16
P0094,Home & Kitchen,Cookware,HOM_COO_94,21.21,12.17
P0095,Beauty,Haircare,BEA_HAI_95,118.84,78.17
P0096,Clothing,Men,CLO_MEN_96,63.84,35.05
P0097,Home & Kitchen,Appliances,HOM_APP_97,8.15,5.49
P0098,Beauty,Haircare,BEA_HAI_98,37.83,29.0
P0099,Electronics,Accessory,ELE_ACC_99,5.01,2.77
P0100,Sports,Outdoor,SPO_OUT_100,142.46,91.14
